_url,name,birth_year,weight,height,nationality
bruno-surra,Bruno  Surra,1964.0,,,Italy
gerard-rue,Gérard  Rué,1965.0,74.0,182.0,France
jan-maas,Jan  Maas,1996.0,69.0,189.0,Netherlands
nathan-van-hooydonck,Nathan Van Hooydonck,1995.0,78.0,192.0,Belgium
jose-felix-parra,José Félix  Parra,1997.0,55.0,171.0,Spain
manuel-penalver,Manuel  Peñalver,1998.0,67.0,177.0,Spain
willy-moonen,Willy  Moonen,1947.0,,,Belgium
chad-haga,Chad  Haga,1988.0,71.5,191.0,United States
joost-van-leijen,Joost van Leijen,1984.0,73.0,192.0,Netherlands
scott-davies,Scott  Davies,,,,
stian-remme,Stian  Remme,1982.0,,,Norway
jose-angel-gomez-marchante,José Ángel  Gómez Marchante,1980.0,60.0,175.0,Spain
giuseppe-guerini,Giuseppe  Guerini,1970.0,65.0,178.0,Italy
evgueny-anachkine,Evgueny  Anachkine,1970.0,,,Russia
maurizio-biondo,Maurizio  Biondo,1981.0,,,Italy
rony-martias,Rony  Martias,1980.0,71.0,181.0,France
eloy-teruel,Eloy  Teruel,1982.0,73.0,181.0,Spain
julien-el-fares,Julien El Fares,1985.0,62.0,172.0,France
patrice-thevenard,Patrice  Thévenard,1954.0,,,France
michal-paluta,Michał  Paluta,1995.0,65.0,174.0,Poland
luc-suykerbuyk,Luc  Suykerbuyk,1964.0,,,Netherlands
fabien-grellier,Fabien  Grellier,1994.0,65.0,180.0,France
bernard-bourreau,Bernard  Bourreau,1951.0,63.0,164.0,France
volker-ordowski,Volker  Ordowski,1973.0,59.0,170.0,Germany
roy-schuiten,Roy  Schuiten,1950.0,83.0,184.0,Netherlands
graeme-brown,Graeme Allen  Brown,1979.0,76.0,180.0,Australia
alain-gallopin,Alain  Gallopin,1957.0,,,France
phillip-gaimon,Phillip  Gaimon,1986.0,67.0,185.0,United States
andrea-fedi,Andrea  Fedi,1991.0,70.0,184.0,Italy
urs-graf,Urs  Graf,1974.0,,,Switzerland
jean-claude-theilliere,Jean-Claude  Theillière,1944.0,,,France
paul-kimmage,Paul  Kimmage,1962.0,,,Ireland
piotr-przydzial,Piotr  Przydział,1974.0,80.0,186.0,Poland
alessandro-vanotti,Alessandro  Vanotti,1980.0,70.0,185.0,Italy
anthony-perez,Anthony  Perez,1991.0,70.0,190.0,France
morten-hulgaard,Morten  Hulgaard,1998.0,73.0,181.0,Denmark
andreas-dietziker,Andreas  Dietziker,1982.0,67.0,179.0,Switzerland
alejandro-paleo,Alejandro  Paleo,1981.0,,,Spain
thomas-gloag,Thomas  Gloag,2001.0,60.0,181.0,Great Britain
samuel-blanco,Samuel  Blanco,1994.0,,,Spain
sean-sullivan,Sean  Sullivan,1978.0,,,Australia
gaetano-baronchelli,Gaetano  Baronchelli,1952.0,,,Italy
mario-scirea,Mario  Scirea,1964.0,80.0,193.0,Italy
hector-palacio,Hector  Palacio,1969.0,63.0,167.0,Colombia
julien-mazet,Julien  Mazet,1981.0,,,France
roberto-giucolsi,Roberto  Giucolsi,1968.0,,,Italy
leonardo-guidi,Leonardo  Guidi,1974.0,,,Italy
aitor-alonso,Aitor  Alonso,1980.0,,,Spain
noel-vanclooster,Noël  Vanclooster,1943.0,,,Belgium
jesus-rodriguez-rodriguez,Jesús  Rodríguez,1960.0,,,Spain
johann-van-zyl,Johann van Zyl,1991.0,72.0,190.0,South Africa
walter-beneteau,Walter  Bénéteau,1972.0,67.0,175.0,France
noan-lelarge,Noan  Lelarge,1975.0,,,France
eric-van-lancker,Eric Van Lancker,1961.0,,,Belgium
dylan-sunderland,Dylan  Sunderland,1996.0,67.0,180.0,Australia
corrado-serina,Corrado  Serina,1975.0,73.0,180.0,Italy
luca-maggioni,Luca  Maggioni,1973.0,,,Italy
eduardo-sepulveda,Eduardo  Sepúlveda,1991.0,59.0,173.0,Argentina
cedric-beullens,Cedric  Beullens,1997.0,79.0,190.0,Belgium
christian-muselet,Christian  Muselet,1952.0,,,France
egor-silin,Egor  Silin,1988.0,61.0,177.0,Russia
stephane-berges,Stéphane  Bergès,1975.0,68.0,181.0,France
bruce-biddle,Bruce  Biddle,1949.0,64.0,173.0,New Zealand
marc-siemons,Marc  Siemons,1966.0,,,Netherlands
theo-smit,Theo  Smit,1951.0,,,Netherlands
andrew-fenn,Andrew  Fenn,1990.0,79.0,186.0,Great Britain
jeffry-romero,Jeffry  Romero,1989.0,55.0,176.0,Colombia
luigi-sestili,Luigi  Sestili,1983.0,,,Italy
iban-herrero-atienzar,Ivan  Herrero,1974.0,,,Spain
remigius-lupeikis,Remigius  Lupeikis,1964.0,80.0,182.0,Lithuania
jules-bruessing,Jules  Bruessing,1949.0,,,Netherlands
theo-eltink,Theo  Eltink,1981.0,,,Netherlands
willy-vigouroux,Willy  Vigouroux,1956.0,,,Belgium
jens-wallays,Jens  Wallays,1992.0,64.0,176.0,Belgium
mads-pedersen,Mads  Pedersen,1995.0,70.0,180.0,Denmark
jose-herrada,José  Herrada,1985.0,65.0,175.0,Spain
idar-andersen,Idar  Andersen,1999.0,,182.0,Norway
sylvain-moniquet,Sylvain  Moniquet,1998.0,61.0,175.0,Belgium
pedro-miguel-lopes,Pedro Miguel  Lopes,1999.0,68.0,180.0,Portugal
adriano-baffi,Adriano  Baffi,1962.0,70.0,176.0,Italy
thibau-nys,Thibau  Nys,2002.0,64.0,176.0,Belgium
gert-steegmans,Gert  Steegmans,1980.0,82.0,190.0,Belgium
marco-haller,Marco  Haller,1991.0,72.0,178.0,Austria
matthew-holmes,Matthew  Holmes,1993.0,67.0,178.0,Great Britain
moreno-hofland,Moreno  Hofland,1991.0,71.0,179.0,Netherlands
venancio-teran,Venancio  Teran,1961.0,,,France
jos-van-emden,Jos van Emden,1985.0,78.0,186.0,Netherlands
michael-matthews,Michael  Matthews,1990.0,72.0,178.0,Australia
juan-ayuso-pesquera,Juan  Ayuso,2002.0,65.0,183.0,Spain
jorge-azanza,Jorge  Azanza,1982.0,68.0,185.0,Spain
valentin-dorronsoro,Valentin  Dorronsoro,1959.0,,,Spain
eddy-verstraeten,Eddy  Verstraeten,1948.0,,,Belgium
peter-mazur,Peter  Mazur,1982.0,73.0,177.0,Poland
paulo-jose-dos-santos-ferreira,Paulo José dos Santos  Ferreira,1962.0,,,Portugal
wim-omloop,Wim  Omloop,1971.0,,,Belgium
sascha-henrix,Sascha  Henrix,1973.0,,,Germany
manuele-tarozzi,Manuele  Tarozzi,1998.0,,,Italy
einer-rubio,Einer  Rubio,1998.0,56.0,164.0,Colombia
roy-knickman,Roy  Knickman,1965.0,,,United States
alberto-minetti,Alberto  Minetti,1957.0,69.0,181.0,Italy
luigi-della-bianca,Luigi Della Bianca,1972.0,,,Italy
jannes-slendebroek,Jannes  Slendebroek,1959.0,,,Netherlands
primoz-cerin,Primož  Čerin,1962.0,,,Yugoslavia
santiago-perez,Santiago  Pérez,1977.0,61.0,179.0,Spain
francisco-leon,Francisco  León,1973.0,,,Spain
rein-taaramae,Rein  Taaramäe,1987.0,68.0,186.0,Estonia
anselmo-fuerte-abelenda,Anselmo  Fuerte,1962.0,,,Spain
sebastien-chavanel,Sébastien  Chavanel,1981.0,77.0,183.0,France
andrei-nechita,Andrei  Nechita,1988.0,71.0,183.0,Romania
tadej-pogacar,Tadej  Pogačar,1998.0,66.0,176.0,Slovenia
jay-sweet,Jay  Sweet,1975.0,69.0,175.0,Australia
nic-hamilton,Nic  Hamilton,1986.0,,,Canada
enrico-barbin,Enrico  Barbin,1990.0,60.0,166.0,Italy
alain-van-den-bossche,Alain Van Den Bossche,1965.0,,,Belgium
mario-de-sarraga,Mario de Sárraga,1980.0,69.0,,Spain
hubert-arbes,Hubert  Arbès,1950.0,,,France
kevin-seeldraeyers,Kevin  Seeldraeyers,1986.0,60.0,174.0,Belgium
peter-van-de-knoop,Peter Van De Knoop,1957.0,,,Netherlands
daniele-righi,Daniele  Righi,1976.0,70.0,180.0,Italy
felix-gall,Felix  Gall,1998.0,66.0,180.0,Austria
jordi-meeus,Jordi  Meeus,1998.0,80.0,190.0,Belgium
louis-de-koning,Louis de Koning,1967.0,,,Netherlands
harm-ottenbros,Harm  Ottenbros,1943.0,,,Netherlands
stephan-joho,Stephan  Joho,1963.0,,,Switzerland
andre-carvalho,Andre  Carvalho,1997.0,66.0,181.0,Portugal
miroslav-uryga,Miroslav  Uryga,1962.0,,,Poland
luis-ricardo-mesa-saavedra,Luis Ricardo  Mesa,1973.0,,,Colombia
joseba-lopez-cuesta,Joseba  López,2000.0,66.0,182.0,Spain
marco-villa,Marco  Villa,1969.0,,,Italy
jacques-jolidon,Jacques  Jolidon,1969.0,,,Switzerland
dirk-wayenberg,Dirk  Wayenberg,1955.0,,,Belgium
emils-liepins,Emīls  Liepiņš,1992.0,67.0,175.0,Latvia
jose-salvador-sanchis,José Salvador  Sanchis,1963.0,,,Spain
giulio-tomi,Giulio  Tomi,1978.0,,,Italy
vladimir-karpets,Vladimir  Karpets,1980.0,79.0,190.0,Russia
tom-wirtgen,Tom  Wirtgen,1996.0,77.0,190.0,Luxembourg
eric-berthou,Eric  Berthou,1980.0,72.0,187.0,France
martin-emilio-rodriguez,Martín Emilio  Rodríguez,1942.0,70.0,178.0,Colombia
claudio-cerri,Claudio  Cerri,1960.0,,,Italy
benoit-joachim,Benoît  Joachim,1976.0,82.0,188.0,Luxembourg
salvatore-scamardella,Salvatore  Scamardella,1979.0,,,Italy
florian-guillou,Florian  Guillou,1982.0,71.0,195.0,France
david-munoz,David  Muñoz,1979.0,,,Spain
jos-de-schoenmaecker,Jos De Schoenmaecker,1947.0,,,Belgium
andre-dierickx,André  Dierickx,1947.0,74.0,180.0,Belgium
claude-criquielion,Claude  Criquielion,1957.0,,,Belgium
stef-clement,Stef  Clement,1982.0,66.0,181.0,Netherlands
gosta-pettersson,Gösta  Pettersson,1940.0,75.0,189.0,Sweden
silvano-lorenzon,Silvano  Lorenzon,1964.0,,,Italy
koen-beeckman,Koen  Beeckman,1973.0,66.0,177.0,Belgium
roberto-torres,Roberto  Torres,1964.0,,,Spain
darren-lill,Darren  Lill,1982.0,,,South Africa
claudio-camin,Claudio  Camin,1970.0,,,Italy
kurt-verleden,Kurt  Verleden,1963.0,,,Belgium
daniel-musiol,Daniel  Musiol,1983.0,70.0,182.0,Germany
michel-lafis,Michel  Lafis,1967.0,78.0,185.0,Sweden
hugo-page,Hugo  Page,2001.0,71.0,185.0,France
axel-mariault,Axel  Mariault,1998.0,58.0,169.0,France
maurizio-vandelli,Maurizio  Vandelli,1964.0,,,Italy
